?country	?countryLabel	?capital	?capitalLabel	?area	?population	?continent	?continentLabel	?currency	?currencyLabel
<http://www.wikidata.org/entity/Q43>	"Turkye"@af	<http://www.wikidata.org/entity/Q3640>	"Ankara"@af	783562	84680273	<http://www.wikidata.org/entity/Q5401>	"Eurasië"@af	<http://www.wikidata.org/entity/Q172872>	"Turkse lira"@af
<http://www.wikidata.org/entity/Q28>	"Hongarye"@af	<http://www.wikidata.org/entity/Q1781>	"Boedapest"@af	93011.4	9769526	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q47190>	"Hongaarse forint"@af
<http://www.wikidata.org/entity/Q142>	"Frankryk"@af	<http://www.wikidata.org/entity/Q90>	"Parys"@af	643801	67063703	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q37>	"Litaue"@af	<http://www.wikidata.org/entity/Q216>	"Vilnius"@af	65300	2790842	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q211>	"Letland"@af	<http://www.wikidata.org/entity/Q1773>	"Riga"@af	64589	1909000	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q30>	"Verenigde State van Amerika"@af	<http://www.wikidata.org/entity/Q61>	"Washington"@af	9826675	331449281	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
<http://www.wikidata.org/entity/Q236>	"Montenegro"@af	<http://www.wikidata.org/entity/Q23564>	"Podgorica"@af	13812	622359	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q38>	"Italië"@af	<http://www.wikidata.org/entity/Q220>	"Rome"@af	301338	60317000	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q36>	"Pole"@af	<http://www.wikidata.org/entity/Q270>	"Warskou"@af	312683	38382576	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q123213>	"Złoty"@af
<http://www.wikidata.org/entity/Q33>	"Finland"@af	<http://www.wikidata.org/entity/Q1757>	"Helsinki"@af	338424.38	5516224	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
